,Metal,Subcategory,Country,Percentage,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,Category,URL,Rank Order,Color,Color Code
0,Aluminum,Total,Canada,50,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
1,Aluminum,Total,United Arab Emirates,9,United Arab Emirates,AE,ARE,784.0,ISO 3166-2:AE,Asia,Western Asia,,142.0,145.0,,Strong Partner,https://www.state.gov/u-s-relations-with-United Arab Emirates,4.0,#27AE60,#27AE60
2,Aluminum,Total,Russia,6,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
3,Aluminum,Total,China,4,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
4,Aluminum,Total,Other,31,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
5,Boron,Total,Turkey,88,Turkey,TR,TUR,792.0,ISO 3166-2:TR,Asia,Western Asia,,142.0,145.0,,NATO Member,https://www.state.gov/u-s-relations-with-Turkey ,1.0,#3498DB,#3498DB
6,Boron,Total,Bolivia,5,Bolivia,BO,BOL,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Very Limited Partner,https://www.state.gov/u-s-relations-with-Bolivia,7.0,#F9E79F,#F9E79F
7,Boron,Total,Chile,3,Chile,CL,CHL,152.0,ISO 3166-2:CL,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Strong Partner,https://www.state.gov/u-s-relations-with-Chile,4.0,#27AE60,#27AE60
8,Boron,Total,Other,4,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
9,Cobalt,"Cobalt contained in metal, oxide, and salts ",Norway,20,Norway,NO,NOR,578.0,ISO 3166-2:NO,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-Norway,1.0,#3498DB,#3498DB
10,Cobalt,"Cobalt contained in metal, oxide, and salts ",Canada,16,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
11,Cobalt,"Cobalt contained in metal, oxide, and salts ",Japan,13,Japan,JP,JPN,392.0,ISO 3166-2:JP,Asia,Eastern Asia,,142.0,30.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Japan,2.0,#5DADE2,#5DADE2
12,Cobalt,"Cobalt contained in metal, oxide, and salts ",Finland,11,Finland,FI,FIN,246.0,ISO 3166-2:FI,Europe,Northern Europe,,150.0,154.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-Finland,3.0,#AED6F1,#AED6F1
13,Cobalt,"Cobalt contained in metal, oxide, and salts ",Other,40,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
14,Chromium,Chromite ores and concentrates,South Africa,99,South Africa,ZA,ZAF,710.0,ISO 3166-2:ZA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Strategic Partner,https://www.state.gov/u-s-relations-with-South Africa,3.0,#AED6F1,#AED6F1
15,Chromium,Chromite ores and concentrates,Other,1,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
16,Chromium,Chromium-containing scrap,United Kingdom,53,United Kingdom,GB,GBR,826.0,ISO 3166-2:GB,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-United Kingdom,1.0,#3498DB,#3498DB
17,Chromium,Chromium-containing scrap,Canada,28,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
18,Chromium,Chromium-containing scrap,Japan,9,Japan,JP,JPN,392.0,ISO 3166-2:JP,Asia,Eastern Asia,,142.0,30.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Japan,2.0,#5DADE2,#5DADE2
19,Chromium,Chromium-containing scrap,Other,10,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
20,Chromium,Chromium primary metal,Russia,36,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
21,Chromium,Chromium primary metal,United Kingdom,23,United Kingdom,GB,GBR,826.0,ISO 3166-2:GB,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-United Kingdom,1.0,#3498DB,#3498DB
22,Chromium,Chromium primary metal,France,21,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-France,1.0,#3498DB,#3498DB
23,Chromium,Chromium primary metal,China,15,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
24,Chromium,Chromium primary metal,Other,5,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
25,Chromium,Total,South Africa,38,South Africa,ZA,ZAF,710.0,ISO 3166-2:ZA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Strategic Partner,https://www.state.gov/u-s-relations-with-South Africa,3.0,#AED6F1,#AED6F1
26,Chromium,Total,Kazakhstan,9,Kazakhstan,KZ,KAZ,398.0,ISO 3166-2:KZ,Asia,Central Asia,,142.0,143.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Kazakhstan,2.0,#5DADE2,#5DADE2
27,Chromium,Total,Russia,7,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
28,Chromium,Total,Mexico,6,Mexico,MX,MEX,484.0,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0,Strong Partner,https://www.state.gov/u-s-relations-with-Mexico,4.0,#27AE60,#27AE60
29,Chromium,Total,Other,40,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
30,Gallium,Total,China,53,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
31,Gallium,Total,United Kingdom,11,United Kingdom,GB,GBR,826.0,ISO 3166-2:GB,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-United Kingdom,1.0,#3498DB,#3498DB
32,Gallium,Total,Germany,9,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
33,Gallium,Total,Ukraine,7,Ukraine,UA,UKR,804.0,ISO 3166-2:UA,Europe,Eastern Europe,,150.0,151.0,,Strong Partner,https://www.state.gov/u-s-relations-with-Ukraine,4.0,#27AE60,#27AE60
34,Gallium,Total,Other,20,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
35,Germanium,Total,China,53,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
36,Germanium,Total,Belgium,22,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Belgium,1.0,#3498DB,#3498DB
37,Germanium,Total,Germany,11,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
38,Germanium,Total,Russia,9,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
39,Germanium,Total,Other,5,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
40,Graphite,Total,China,33,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
41,Graphite,Total,Mexico,21,Mexico,MX,MEX,484.0,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0,Strong Partner,https://www.state.gov/u-s-relations-with-Mexico,4.0,#27AE60,#27AE60
42,Graphite,Total,Canada,17,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
43,Graphite,Total,India,9,India,IN,IND,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-India,3.0,#AED6F1,#AED6F1
44,Graphite,Total,Other,20,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
45,Silicon,Ferrosilicon,Russia,40,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
46,Silicon,Ferrosilicon,Canada,14,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
47,Silicon,Ferrosilicon,Brazil,10,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
48,Silicon,Ferrosilicon,Iceland,8,Iceland,IS,ISL,352.0,ISO 3166-2:IS,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-Iceland,1.0,#3498DB,#3498DB
49,Silicon,Ferrosilicon,Other,28,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
50,Silicon,Silicon metal,Brazil,30,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
51,Silicon,Silicon metal,Canada,21,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
52,Silicon,Silicon metal,Norway,13,Norway,NO,NOR,578.0,ISO 3166-2:NO,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-Norway,1.0,#3498DB,#3498DB
53,Silicon,Silicon metal,Australia,8,Australia,AU,AUS,36.0,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Australia /,2.0,#5DADE2,#5DADE2
54,Silicon,Silicon metal,Other,28,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
55,Silicon,Total,Russia,21,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
56,Silicon,Total,Brazil,20,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
57,Silicon,Total,Canada,17,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
58,Silicon,Total,Norway,7,Norway,NO,NOR,578.0,ISO 3166-2:NO,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-Norway,1.0,#3498DB,#3498DB
59,Silicon,Total,Other,35,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
60,Tantalum,Tantalum ores and concentrates,Australia,36,Australia,AU,AUS,36.0,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Australia /,2.0,#5DADE2,#5DADE2
61,Tantalum,Tantalum ores and concentrates,Rwanda,34,Rwanda,RW,RWA,646.0,ISO 3166-2:RW,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Rwanda/,5.0,#58D68D,#58D68D
62,Tantalum,Tantalum ores and concentrates,Congo (Kinshasa),7,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
63,Tantalum,Tantalum ores and concentrates,Mozambique,6,Mozambique,MZ,MOZ,508.0,ISO 3166-2:MZ,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Limited Partner,https://www.state.gov/u-s-relations-with-Mozambique/,5.0,#58D68D,#58D68D
64,Tantalum,Tantalum ores and concentrates,Other,17,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
65,Tantalum,Tantalum metal and powder,China,39,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
66,Tantalum,Tantalum metal and powder,Germany,22,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
